A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,Kelas
0,5,1,0,0,0,0,0,0,0,0,28,31,8,0,0,0,0,0,0,0,0,16,19,2,0,0,0,0,0,0,0,0,17,19,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,31,55,0,0,0,0,0,0,0,0,14,4,15,0,0,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,0,0,10,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,6,6,0,0,0,0,0,0,0,0,20,28,2,0,0,0,0,0,0,0,0,6,15,19,0,0,0,0,0,0,0,0,16,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,40,52,0,0,0,0,0,0,0,0,16,19,7,0,0,0,0,0,0,0,0,1,12,11,0,0,0,0,0,0,0,0,56,19,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17,3,0,0,0,0,0,0,0,0,20,33,5,0,0,0,0,0,0,0,0,3,8,20,0,0,0,0,0,0,0,0,4,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,37,58,0,0,0,0,0,0,0,0,15,9,16,0,0,0,0,0,0,0,0,7,14,20,0,0,0,0,0,0,0,0,12,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,2,0,0,0,0,0,0,0,0,40,33,3,0,0,0,0,0,0,0,0,8,15,10,0,0,0,0,0,0,0,0,13,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,46,0,0,0,0,0,0,0,0,5,7,7,0,0,0,0,0,0,0,0,16,1,14,0,0,0,0,0,0,0,0,59,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,8,0,0,0,0,0,0,0,0,22,38,7,0,0,0,0,0,0,0,0,2,12,6,0,0,0,0,0,0,0,0,15,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37,49,0,0,0,0,0,0,0,0,13,6,6,0,0,0,0,0,0,0,0,18,14,2,0,0,0,0,0,0,0,0,28,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,9,2,0,0,0,0,0,0,0,0,35,29,7,0,0,0,0,0,0,0,0,3,1,9,0,0,0,0,0,0,0,0,9,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,58,0,0,0,0,0,0,0,0,2,19,18,0,0,0,0,0,0,0,0,5,5,13,0,0,0,0,0,0,0,0,38,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17,2,0,0,0,0,0,0,0,0,22,37,11,0,0,0,0,0,0,0,0,3,17,9,0,0,0,0,0,0,0,0,12,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,35,57,0,0,0,0,0,0,0,0,7,4,20,0,0,0,0,0,0,0,0,8,10,7,0,0,0,0,0,0,0,0,22,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,9,0,0,0,0,0,0,0,0,36,25,1,0,0,0,0,0,0,0,0,11,4,7,0,0,0,0,0,0,0,0,15,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,32,57,0,0,0,0,0,0,0,0,3,17,11,0,0,0,0,0,0,0,0,5,17,17,0,0,0,0,0,0,0,0,56,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,9,2,0,0,0,0,0,0,0,0,30,30,15,0,0,0,0,0,0,0,0,6,19,12,0,0,0,0,0,0,0,0,7,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,30,42,0,0,0,0,0,0,0,0,16,17,7,0,0,0,0,0,0,0,0,12,4,11,0,0,0,0,0,0,0,0,42,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,10,3,0,0,0,0,0,0,0,0,39,29,8,0,0,0,0,0,0,0,0,3,4,9,0,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,29,56,0,0,0,0,0,0,0,0,18,5,10,0,0,0,0,0,0,0,0,11,13,18,0,0,0,0,0,0,0,0,33,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,3,0,0,0,0,0,0,0,0,37,29,15,0,0,0,0,0,0,0,0,18,9,1,0,0,0,0,0,0,0,0,6,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,26,58,0,0,0,0,0,0,0,0,13,1,12,0,0,0,0,0,0,0,0,1,20,5,0,0,0,0,0,0,0,0,47,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,14,5,0,0,0,0,0,0,0,0,40,37,9,0,0,0,0,0,0,0,0,4,19,7,0,0,0,0,0,0,0,0,1,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,29,46,0,0,0,0,0,0,0,0,7,6,6,0,0,0,0,0,0,0,0,9,15,4,0,0,0,0,0,0,0,0,10,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,2,0,0,0,0,0,0,0,0,21,28,15,0,0,0,0,0,0,0,0,11,3,7,0,0,0,0,0,0,0,0,18,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,34,50,0,0,0,0,0,0,0,0,3,18,17,0,0,0,0,0,0,0,0,1,5,6,0,0,0,0,0,0,0,0,59,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,11,2,0,0,0,0,0,0,0,0,27,37,11,0,0,0,0,0,0,0,0,3,20,18,0,0,0,0,0,0,0,0,1,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,44,0,0,0,0,0,0,0,0,5,2,12,0,0,0,0,0,0,0,0,11,12,19,0,0,0,0,0,0,0,0,23,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,6,5,0,0,0,0,0,0,0,0,23,25,20,0,0,0,0,0,0,0,0,13,8,1,0,0,0,0,0,0,0,0,20,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,33,44,0,0,0,0,0,0,0,0,10,17,16,0,0,0,0,0,0,0,0,10,5,6,0,0,0,0,0,0,0,0,22,17,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17,8,0,0,0,0,0,0,0,0,21,40,12,0,0,0,0,0,0,0,0,18,17,17,0,0,0,0,0,0,0,0,2,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,36,58,0,0,0,0,0,0,0,0,17,2,19,0,0,0,0,0,0,0,0,17,15,4,0,0,0,0,0,0,0,0,47,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,15,6,0,0,0,0,0,0,0,0,29,20,1,0,0,0,0,0,0,0,0,11,19,15,0,0,0,0,0,0,0,0,1,16,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,28,41,0,0,0,0,0,0,0,0,15,20,13,0,0,0,0,0,0,0,0,20,6,20,0,0,0,0,0,0,0,0,22,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,17,10,0,0,0,0,0,0,0,0,34,24,20,0,0,0,0,0,0,0,0,19,19,11,0,0,0,0,0,0,0,0,9,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,25,46,0,0,0,0,0,0,0,0,10,10,4,0,0,0,0,0,0,0,0,15,16,1,0,0,0,0,0,0,0,0,24,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,3,8,0,0,0,0,0,0,0,0,33,20,12,0,0,0,0,0,0,0,0,17,8,15,0,0,0,0,0,0,0,0,19,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,40,49,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,8,14,7,0,0,0,0,0,0,0,0,10,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,9,1,0,0,0,0,0,0,0,0,30,25,2,0,0,0,0,0,0,0,0,2,10,12,0,0,0,0,0,0,0,0,10,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,30,58,0,0,0,0,0,0,0,0,8,16,17,0,0,0,0,0,0,0,0,14,9,2,0,0,0,0,0,0,0,0,21,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,12,4,0,0,0,0,0,0,0,0,25,38,19,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,40,60,0,0,0,0,0,0,0,0,1,16,13,0,0,0,0,0,0,0,0,1,12,7,0,0,0,0,0,0,0,0,35,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,7,1,0,0,0,0,0,0,0,0,25,34,4,0,0,0,0,0,0,0,0,13,13,5,0,0,0,0,0,0,0,0,11,17,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,27,42,0,0,0,0,0,0,0,0,19,11,16,0,0,0,0,0,0,0,0,2,5,20,0,0,0,0,0,0,0,0,24,16,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,6,7,0,0,0,0,0,0,0,0,35,38,15,0,0,0,0,0,0,0,0,9,5,14,0,0,0,0,0,0,0,0,12,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,38,48,0,0,0,0,0,0,0,0,10,3,11,0,0,0,0,0,0,0,0,11,17,17,0,0,0,0,0,0,0,0,25,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,12,6,0,0,0,0,0,0,0,0,34,25,20,0,0,0,0,0,0,0,0,18,1,11,0,0,0,0,0,0,0,0,9,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,57,0,0,0,0,0,0,0,0,1,18,11,0,0,0,0,0,0,0,0,20,17,20,0,0,0,0,0,0,0,0,37,16,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,8,4,0,0,0,0,0,0,0,0,24,34,5,0,0,0,0,0,0,0,0,10,2,9,0,0,0,0,0,0,0,0,13,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,26,58,0,0,0,0,0,0,0,0,6,18,2,0,0,0,0,0,0,0,0,15,2,1,0,0,0,0,0,0,0,0,47,7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,12,3,0,0,0,0,0,0,0,0,32,20,17,0,0,0,0,0,0,0,0,19,1,2,0,0,0,0,0,0,0,0,4,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,47,0,0,0,0,0,0,0,0,6,17,2,0,0,0,0,0,0,0,0,4,9,9,0,0,0,0,0,0,0,0,25,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,18,9,0,0,0,0,0,0,0,0,22,31,15,0,0,0,0,0,0,0,0,1,18,7,0,0,0,0,0,0,0,0,10,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22,52,0,0,0,0,0,0,0,0,16,17,7,0,0,0,0,0,0,0,0,14,2,17,0,0,0,0,0,0,0,0,56,16,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,13,3,0,0,0,0,0,0,0,0,24,38,18,0,0,0,0,0,0,0,0,19,18,3,0,0,0,0,0,0,0,0,7,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,36,50,0,0,0,0,0,0,0,0,2,12,13,0,0,0,0,0,0,0,0,10,17,2,0,0,0,0,0,0,0,0,18,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,5,1,0,0,0,0,0,0,0,0,22,25,14,0,0,0,0,0,0,0,0,3,16,13,0,0,0,0,0,0,0,0,9,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,39,48,0,0,0,0,0,0,0,0,20,18,5,0,0,0,0,0,0,0,0,17,8,2,0,0,0,0,0,0,0,0,35,20,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
